,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
24,Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,13955.1,13763.7,14556.0,14871.4,15571.7,16225.4,17910.2,18888.5,20761.2,20589.7,20842.5,23738.2,21960.2,21847.8,19493.7,19615.5,22341.1,22676.0,22600.1,21066.9
25,Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,52941.9,51883.8,51843.3,52703.9,56039.4,56779.6,59121.1,57648.9,60531.7,57402.3,61674.7,58550.8,59938.3,59990.2,59496.8,54820.3,55142.4,56005.0,58947.6,57672.2
26,Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,447.3,525.4,522.2,506.5,440.8,469.7,508.4,534.3,495.3,1464.3,557.0,669.0,667.4,457.9,484.3,676.0,652.4,644.4,631.6,639.8
27,Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
28,Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,8210.0,8047.5,8301.4,9084.6,9487.5,10052.9,11234.5,12084.4,13107.4,14004.5,15170.9,16614.8,17421.8,18742.2,20409.9,20757.5,22010.2,22745.7,23225.6,22340.7
29,Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,313670.7,319375.6,317756.4,310808.0,328517.3,331689.0,335624.5,352555.8,373633.0,350000.8,397931.0,418305.3,454232.8,486844.6,511617.9,485344.0,447077.2,456494.7,433988.8,434297.9
30,Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1241.0,1313.8,1372.0,1383.6,1363.9,1416.1,1466.6,1481.2,1780.4,4617.7,1552.9,1763.65,2121.42,1441.17,1270.47,1267.07,1288.57,1176.67,1235.77,1249.97
31,Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,4717.9,4708.8,4620.1,5515.5,5103.0,4991.3,7520.7,7143.2,7912.4,7874.3,7170.8,7332.7,7299.4,7208.8,7080.3,6397.7,6968.5,7290.1,7540.0,6986.2
32,Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,213.94,231.1,241.12,260.44,289.73,321.23,323.68,321.98,297.65,322.4,397.74,591.0,642.7,666.9,704.1,767.8,930.7,968.6,1051.7,1053.8
33,Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,4033.8,3865.6,4026.7,3915.0,3970.3,4278.6,4086.9,4319.8,4392.7,4186.58,3371.7,3883.337,3414.335,5421.539,6988.912,6952.812,6629.312,7334.412,7314.7,7252.5
34,Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,242.5,252.5,249.3,230.4,225.7,223.9,234.2,237.6,171.3,168.0,174.6,194.3,198.4,121.6,131.5,185.7,207.6,223.7,230.3,242.6
35,Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,514215.2,506616.0,524353.5,544541.9,536417.4,549032.8,540525.7,571632.2,550469.8,521316.0,537008.2,549286.5,546208.1,555658.9,561677.0,558700.8,556827.6,568082.4,580088.0,580212.8
36,Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,709032.47,721099.8,706185.1,735881.3,735036.4,733631.8,751337.6,758258.7,740862.4,683712.3,707017.3,707138.7,680985.7,654549.7,633334.3,643894.8,655574.4,679383.4,673569.3,641565.4
37,Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,43708.8,45154.7,43573.3,44839.5,45283.9,45850.7,45479.3,43541.2,44962.5,43668.6,45207.8,41192.3,42516.6,43531.2,39793.3,39090.8,39666.5,38699.0,37481.3,37376.3
38,Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
39,Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,50424.5,48425.1,49121.4,50200.6,54972.1,55968.9,57148.1,64574.0,67991.6,65450.6,69750.1,76470.5,78412.6,82998.5,76560.3,82225.4,86492.0,87072.2,86606.1,91369.4
40,China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,3346526.0,3529081.0,3810057.0,4415913.0,5124817.0,5824625.0,6437470.0,6993183.0,7199605.0,7719071.0,8474923.0,9282554.0,9541867.0,9984572.0,10006670.0,9861100.0,9874656.0,10096010.0,10502930.0,10707220.0
41,Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,6489.4,6494.3,6838.9,5307.5,5466.1,5876.5,5698.7,5657.8,6474.7,6031.2,6350.6,6118.3,8037.7,8692.4,9196.9,9805.7,9593.5,10563.8,10194.8,10833.4
42,Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,5209.1,5156.7,5133.2,5206.0,5122.6,5016.3,5091.6,6131.5,6393.5,7032.3,7014.3,6811.1,6876.3,7545.9,8248.2,8461.4,9078.1,9172.5,9587.5,9429.1
43,"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,1634.93,1565.44,1650.1,1998.6,1939.7,2208.7,2282.7,2472.8,2553.3,2502.7,2653.9,3016.9,2827.3,3959.5,5136.1,3231.4,2421.14,2845.0,3121.9,3209.8
44,"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,4348.186,4244.6,2755.9,3225.6,3515.3,4314.23,4779.06,4151.62,4361.49,4839.56,5424.45,5384.97,5261.65,5330.11,5194.7,5655.7,5498.3,5407.4,6486.7,7256.9
45,Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,58341.7,58942.3,56767.0,56108.9,56112.1,57636.9,57688.7,59176.7,59782.2,62008.6,63564.3,69097.1,69695.2,76863.2,79201.5,80227.7,82684.5,74989.1,78592.3,81039.1
46,Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,104.7,109.5,109.5,139.3,152.8,146.9,172.1,111.7,114.0,140.3,167.6,150.0,161.1,193.7,173.2,187.2,219.2,280.6,304.1,320.2
47,Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,218.0,245.0,278.5,307.1,334.4,441.1,502.4,459.7,475.4,510.0,540.0,567.1,529.0,506.0,500.3,503.4,546.0,587.8,612.6,645.3
48,Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,4946.7,5420.6,5523.2,5797.4,5943.5,6273.8,6556.9,7601.5,7515.2,7198.3,7105.4,7430.4,7446.5,7778.3,7831.9,7537.9,8080.4,8255.1,8371.1,8238.1
49,Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,28733.42,30489.16,31612.16,34869.56,35513.86,37041.36,40888.67,41582.58,39126.09,47901.37,38612.17,40734.68,42063.95,40508.28,40102.359,39313.0,37272.556,36387.4,37877.5,37851.6
50,Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,28353.1,27465.1,26423.5,25628.6,25364.8,26317.9,26780.2,27677.5,26747.1,26979.6,28110.0,27586.3,28690.9,28869.7,26688.7,29212.4,27174.2,26242.1,26710.7,25910.9
51,Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
52,Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
53,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,7127.7,6992.1,7168.5,7834.1,7778.8,7900.8,7999.4,8307.1,8490.7,8276.1,7898.4,7634.6,7098.8,6427.7,6811.8,6851.9,7219.2,7361.2,7198.6,7193.2
54,Czechia,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,123167.5,122721.4,118527.5,122765.7,123437.5,119994.9,120598.3,123624.7,118305.1,111165.1,112251.3,109172.8,106073.4,101150.7,97510.1,99140.8,101730.0,101831.8,100899.7,96285.2
